case,cores,baseline_cycles,old_makespan_cycles,new_makespan_cycles,delta_cycles
001,1,233110,233110,233110,0
001,2,233110,116868,116868,0
001,3,233110,78545,78545,0
001,4,233110,58984,58984,0
001,5,233110,47502,47502,0
002,1,261945,261945,261945,0
002,2,261945,135690,135690,0
002,3,261945,93963,93963,0
002,4,261945,73544,73544,0
002,5,261945,55067,55067,0
003,1,602212,602382,602382,0
003,2,602212,340580,326972,-13608
003,3,602212,225604,225604,0
003,4,602212,206064,193345,-12719
003,5,602212,165184,165184,0
004,1,392357,392357,392357,0
004,2,392357,199074,198796,-278
004,3,392357,134043,134043,0
004,4,392357,104188,104188,0
004,5,392357,88341,88341,0
005,1,95618,95618,95618,0
005,2,95618,60186,58632,-1554
005,3,95618,47601,46707,-894
005,4,95618,42167,42167,0
005,5,95618,42487,41072,-1415
006,1,82837,82837,82837,0
006,2,82837,43425,43425,0
006,3,82837,31153,31153,0
006,4,82837,30204,30204,0
006,5,82837,31153,31153,0
007,1,1012562,1012562,1012562,0
007,2,1012562,507494,507256,-238
007,3,1012562,338094,338094,0
007,4,1012562,254398,254398,0
007,5,1012562,203834,203834,0
008,1,487605,487605,487605,0
008,2,487605,194956,194956,0
008,3,487605,137062,137062,0
008,4,487605,117710,117710,0
008,5,487605,100603,100603,0
009,1,153261,153397,153397,0
009,2,153261,92011,92011,0
009,3,153261,69982,69982,0
009,4,153261,57707,57707,0
009,5,153261,50248,50248,0
010,1,86969,86969,86969,0
010,2,86969,45626,45626,0
010,3,86969,30856,30856,0
010,4,86969,29856,24864,-4992
010,5,86969,29434,29434,0
011,1,184697,184697,184697,0
011,2,184697,92646,92646,0
011,3,184697,69625,69625,0
011,4,184697,46880,46880,0
011,5,184697,46880,46880,0
012,1,59088,59088,59088,0
012,2,59088,30094,30094,0
012,3,59088,21894,21894,0
012,4,59088,17253,17253,0
012,5,59088,14300,14300,0
013,1,263949,263949,263949,0
013,2,263949,132198,132198,0
013,3,263949,88351,88351,0
013,4,263949,66982,66982,0
013,5,263949,54363,54363,0
014,1,17698626,17579821,17579821,0
014,2,17698626,8752017,8752017,0
014,3,17698626,5882800,5882800,0
014,4,17698626,4500863,4500863,0
014,5,17698626,3642307,3642307,0
015,1,177362,177362,177362,0
015,2,177362,92810,92810,0
015,3,177362,61224,61224,0
015,4,177362,53474,53474,0
015,5,177362,43411,43411,0
016,1,7715523,7715523,7715523,0
016,2,7715523,4550194,4550194,0
016,3,7715523,3712678,3546086,-166592
016,4,7715523,3241338,3112138,-129200
016,5,7715523,3223183,2941234,-281949
017,1,162810,162810,162810,0
017,2,162810,82005,82005,0
017,3,162810,58579,58579,0
017,4,162810,42384,42384,0
017,5,162810,35496,35496,0
018,1,1004367,1004367,1004367,0
018,2,1004367,504468,504468,0
018,3,1004367,339838,339838,0
018,4,1004367,258063,258063,0
018,5,1004367,205917,205917,0
019,1,81144,81144,81144,0
019,2,81144,43224,43224,0
019,3,81144,28986,28986,0
019,4,81144,24099,24099,0
019,5,81144,24169,24169,0
020,1,532746,534174,534174,0
020,2,532746,266580,266580,0
020,3,532746,177950,177950,0
020,4,532746,133704,133704,0
020,5,532746,107650,107650,0
021,1,6567937,6567937,6567937,0
021,2,6567937,3194570,3194570,0
021,3,6567937,2132763,2108919,-23844
021,4,6567937,1550324,1550324,0
021,5,6567937,1250168,1250168,0
022,1,56780,56780,56780,0
022,2,56780,28415,28415,0
022,3,56780,19197,19197,0
022,4,56780,14654,14654,0
022,5,56780,11828,11828,0
023,1,122614,122614,122614,0
023,2,122614,61829,61829,0
023,3,122614,41488,41488,0
023,4,122614,31518,31518,0
023,5,122614,24940,24940,0
024,1,2555343,2555343,2555343,0
024,2,2555343,1506718,1506718,0
024,3,2555343,1228774,1173974,-54800
024,4,2555343,1072818,1030318,-42500
024,5,2555343,1067515,974062,-93453
025,1,4863026,4869182,4869182,0
025,2,4863026,2436772,2436772,0
025,3,4863026,1626688,1626688,0
025,4,4863026,1221396,1221396,0
025,5,4863026,975282,975282,0
026,1,99203,99203,99203,0
026,2,99203,58112,58112,0
026,3,99203,41655,38785,-2870
026,4,99203,42226,39602,-2624
026,5,99203,44114,42014,-2100
027,1,2363952,2363952,2363952,0
027,2,2363952,1120962,1120962,0
027,3,2363952,837049,837049,0
027,4,2363952,559196,559196,0
027,5,2363952,508076,508076,0
028,1,43836040,43896686,43896686,0
028,2,43836040,20304493,20304493,0
028,3,43836040,13802319,13802319,0
028,4,43836040,10263317,10263317,0
028,5,43836040,8279736,8279736,0
029,1,37555,37555,37555,0
029,2,37555,19740,19740,0
029,3,37555,12743,12743,0
029,4,37555,11028,11028,0
029,5,37555,9383,9383,0
030,1,2808034,2792105,2792105,0
030,2,2808034,1398487,1398487,0
030,3,2808034,933857,933857,0
030,4,2808034,700342,700342,0
030,5,2808034,561102,561102,0
031,1,1414369,1405775,1405775,0
031,2,1414369,737122,737122,0
031,3,1414369,485202,485202,0
031,4,1414369,390498,390498,0
031,5,1414369,306213,306213,0
032,1,41443,41443,41443,0
032,2,41443,21880,21880,0
032,3,41443,15402,15402,0
032,4,41443,14274,14274,0
032,5,41443,10415,10415,0
033,1,1774196,1774196,1774196,0
033,2,1774196,900424,900424,0
033,3,1774196,602774,602774,0
033,4,1774196,457426,457426,0
033,5,1774196,373638,373638,0
034,1,842996,842996,842996,0
034,2,842996,419315,419315,0
034,3,842996,279005,279005,0
034,4,842996,211980,211980,0
034,5,842996,178384,178384,0
